sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;Profile 1;Profile 2
;1;Session genius.core.session.Session@67b92f0a failed: failed to construct agent : Execution failed of init<MyAgent@0,Participant[Party0,genius.core.exceptions.InstantiateException: failed to load class from  groupn.MyAgent,etc/templates/partydomain/party1_utility_u1000_c001.xml]>:genius.core.session.RepositoryException: failed to load genius.core.exceptions.InstantiateException: failed to load class from  groupn.MyAgent. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load genius.core.exceptions.InstantiateException: failed to load class from  groupn.MyAgent. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load class from  groupn.MyAgent: groupn.MyAgent:[groupn.MyAgent, agents.anac.y2019.agentgg.AgentGG];200rounds;No;;0;;;;;;MyAgent;AgentGG;0.0;0.0;0.0;0.0;;;party1_utility_u1000_c001;party2_utility_u1000_c001
;1;Session genius.core.session.Session@2b552920 failed: failed to construct agent : Execution failed of init<MyAgent@3,Participant[Party3,genius.core.exceptions.InstantiateException: failed to load class from  groupn.MyAgent,etc/templates/partydomain/party2_utility_u1000_c001.xml]>:genius.core.session.RepositoryException: failed to load genius.core.exceptions.InstantiateException: failed to load class from  groupn.MyAgent. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load genius.core.exceptions.InstantiateException: failed to load class from  groupn.MyAgent. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load class from  groupn.MyAgent: groupn.MyAgent:[agents.anac.y2019.agentgg.AgentGG, groupn.MyAgent];200rounds;No;;0;;;;;;AgentGG;MyAgent;0.0;0.0;0.0;0.0;;;party1_utility_u1000_c001;party2_utility_u1000_c001
