sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;Profile 1;Profile 2
1.977;200;;200rounds;No;No;0;0.00000;0.00000;1.03606;1.21584;0.00000;Agent30@0;AgentGG@1;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility_u1000_c001.xml;party2_utility_u1000_c001.xml
0.607;86;;200rounds;Yes;No;2;0.47826;0.96246;0.02069;0.48412;1.44072;AgentGG@2;Agent30@3;0.9624632858927594;0.47825611784127275;0.9624632858927594;0.47825611784127275;0.8797507646205538;0.3487709010996067;party1_utility_u1000_c001.xml;party2_utility_u1000_c001.xml
