sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;Profile 1;Profile 2
1.913;200;;200rounds;No;No;0;0.00000;0.00000;1.03606;1.21584;0.00000;Agent30@0;AgentGG@1;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility_u1000_c001.xml;party2_utility_u1000_c001.xml
0.297;51;;200rounds;Yes;No;2;0.49473;0.97498;0.00000;0.47372;1.46971;AgentGG@2;Agent30@3;0.9749755239285063;0.49473241274862667;0.9749755239285063;0.49473241274862667;0.859166327001442;0.36318534322971224;party1_utility_u1000_c001.xml;party2_utility_u1000_c001.xml
