sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;Profile 1;Profile 2
0.221;188;;200rounds;Yes;No;2;0.75533;0.75639;0.12425;0.17472;1.51172;AgentF@0;AgentF@1;0.7553322898382127;0.7563872520655046;0.7553322898382127;0.7563872520655046;0.6298701298701299;0.8223511133140156;party1_utility_u10.xml;party2_utility_u50.xml
1.002;170;;200rounds;Yes;No;2;0.73023;0.74702;0.13150;0.20195;1.47724;Agent30@2;AgentF@3;0.747017018126169;0.7302269532469835;0.747017018126169;0.7302269532469835;0.8116883116883117;0.6321117074145557;party1_utility_u10.xml;party2_utility_u50.xml
1.099;170;;200rounds;Yes;No;2;0.63072;0.71699;0.17325;0.30551;1.34771;AgentF@4;Agent30@5;0.7169916489426014;0.6307165053776382;0.7169916489426014;0.6307165053776382;0.6047077922077921;0.8618222891566265;party1_utility_u10.xml;party2_utility_u50.xml
0.179;16;;200rounds;Yes;No;2;0.56517;0.82876;0.19508;0.24127;1.39394;Agent30@6;Agent30@7;0.5651729270205428;0.82876456882457;0.5651729270205428;0.82876456882457;0.5405844155844156;0.8317415358856987;party1_utility_u10.xml;party2_utility_u50.xml
